Technique,Variable,Precision,Recall,F1,Accuracy,Time
Autoencoder,4,0.12972850164716573,0.3657911595131326,0.19153039832285115,0.6911816521989814,00:00:20.280032
HBOS,5,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:02.755348
Percentile,95/10,1.0,0.46796925048046123,0.6375736417193977,0.9468003330984562,00:00:01.020250
Autoencoder,4,0.15562530976375352,0.3017296604740551,0.20534059945504088,0.7664563246740767,00:00:35.664119
HBOS,5,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:02.818099
Percentile,95/10,1.0,0.46796925048046123,0.6375736417193977,0.9468003330984562,00:00:01.084810
Autoencoder,4,0.10028750211398613,0.18994234465086482,0.1312672938572219,0.7485825939331817,00:00:59.343187
HBOS,5,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:02.845703
Percentile,95/10,1.0,0.46796925048046123,0.6375736417193977,0.9468003330984562,00:00:01.072399
Autoencoder,4,0.10039675694324651,0.18641896220371557,0.1305079044735957,0.7515935808321855,00:01:10.952768
HBOS,5,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:03.068732
Percentile,95/10,1.0,0.46796925048046123,0.6375736417193977,0.9468003330984562,00:00:01.034055
Autoencoder,4,0.13808373590982287,0.21973094170403587,0.1695920889987639,0.7848105320477914,00:01:26.024331
HBOS,5,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:03.009061
Percentile,95/10,1.0,0.46796925048046123,0.6375736417193977,0.9468003330984562,00:00:01.158923
